SC,名称,決算期,決算発表日(本決算),売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),自己資本比率,ROE,ROA,発行済株式数(更新日時点)
1450,TANAKEN,202603,20260508,14820,2185,2211,1502,12178,9325,297,-,76.6,17.12,12.75,8699600
1720,東急建設,202603,20260508,341181,16306,17552,13390,310849,111447,16354,36066,35.9,12.57,4.58,106761205
1768,ソネック,202603,20260508,22753,1875,1986,1366,15714,10397,723,-,66.2,14.04,9.55,7500000
1893,五洋建設,202603,20260508,794306,55304,53195,34692,790413,198265,30449,196132,25.1,18.74,4.78,286013910
1976,明星工業,202603,20260508,60299,7675,8306,5494,85597,69004,6889,800,80.6,7.99,6.31,55117218
2060,フィード・ワン,202603,20260508,290675,8091,8612,6377,133020,61687,10000,24620,46.4,10.97,4.96,38477128
2112,塩水港精糖,202603,20260508,32982,3047,3339,2765,31813,20603,1750,6730,64.8,14.86,9.03,35000000
2139,中広,202603,20260508,12153,386,401,188,5527,2174,404,1264,39.3,8.96,3.55,7044000
2281,プリマハム,202603,20260508,475574,9131,11185,4587,241280,121932,7908,19011,50.5,3.8,1.91,50524399
2282,日本ハム,202603,20260508,1457391,56119,54545,35066,997477,536940,36294,228548,53.8,6.61,3.6,94245000
2371,カカクコム,202603,20260508,94127,27243,27347,18803,92475,64988,916,-,70.3,29.66,20.22,198218300
2378,ルネサンス,202603,20260508,64933,1565,795,-2106,57043,9678,3210,15949,17,-19.33,-3.74,21379000
2666,オートウェーブ,202603,20260508,9835,318,458,441,7904,4537,100,1380,57.4,10.17,5.72,14451000
2681,ゲオホールディングス,202603,20260508,481249,14239,15348,8738,295211,98022,9317,118649,33.2,9.28,3.19,39783552
2705,大戸屋ホールディングス,202603,20260508,37016,2140,2206,1233,11907,4110,2059,1000,34.5,28.71,10.37,7263300
2782,セリア,202603,20260508,255695,20968,21287,14696,128681,92837,1278,-,72.1,14.63,10.88,75840000
2790,ナフコ,202603,20260508,175272,1636,1488,223,215957,152842,3538,17695,70.8,0.15,0.1,29784400
2883,大冷,202603,20260508,25053,660,693,482,11313,8823,1909,-,78,5.47,4.22,6008300
303A,visumo,202603,20260508,973,81,83,72,1014,687,248,100,67.8,11.93,8.43,2050700
3166,OCHIホールディングス,202603,20260508,120432,1669,2242,1309,69181,24595,400,6015,35.6,5.44,1.88,13610970
3167,TOKAIホールディングス,202603,20260508,244838,18699,19152,10749,219586,101876,14000,47847,46.4,11.01,4.99,137845577
3190,ホットマン,202603,20260508,22501,648,703,356,16606,7733,1910,4259,46.6,4.71,2.16,7275500
3202,ダイトウボウ,202603,20260508,4012,310,116,90,20075,4999,100,9337,24.9,1.81,0.45,30360000
3221,ヨシックスホールディングス,202603,20260508,25914,2995,3283,2025,17221,13284,361,-,77.1,16.37,12.6,10361000
3238,セントラル総合開発,202603,20260508,38450,898,304,147,46101,10302,1352,31230,22.3,1.43,0.32,9681600
3352,バッファロー,202603,20260508,13706,601,646,439,9827,6496,653,747,66.1,6.92,4.64,2345874
3553,共和レザー,202603,20260508,55816,920,1006,655,57463,36573,1810,983,63.6,1.8,1.12,24500000
3626,TIS,202603,20260508,596479,76229,76511,46624,551507,324731,10001,34824,58.9,13.96,8.4,228400000
3762,テクマトリックス,202603,20260508,71733,7760,7861,5178,121531,26327,1298,1750,21.7,20.49,4.56,44518400
3766,システムズ・デザイン,202603,20260508,9993,595,604,393,6882,4815,333,-,70,8.33,5.92,3500000
3850,エヌ・ティ・ティ・データ・イントラマート,202603,20260508,14656,1381,1414,914,10996,5877,738,-,53.4,16.63,9.02,4955000
3908,コラボス,202603,20260508,1699,74,52,101,1670,1363,349,60,81.6,7.7,5.93,4977000
3910,エムケイシステム,202603,20260508,3256,247,247,256,2276,903,219,839,39.7,32.61,10.86,5428000
3917,アイリッジ,202603,20260508,7084,113,135,637,5662,3012,1378,1437,53.2,23.18,10.96,7829354
3926,オープンドア,202603,20260508,2453,-45,-34,-1131,4065,3458,648,-,85.1,-29.06,-25.51,31260000
3934,ベネフィットジャパン,202603,20260508,18393,1482,1520,995,14334,8705,680,2035,60.7,11.97,7.6,6034748
3946,トーモク,202603,20260508,224090,11378,11445,7361,223835,102147,13669,70212,45.6,7.55,3.42,19341568
4120,スガイ化学工業,202603,20260508,6432,489,578,461,12189,8365,2510,1385,68.6,5.83,3.9,1373000
4228,積水化成品工業,202603,20260508,113935,2552,2249,2147,122355,50182,16533,38753,41,4.33,1.66,46988109
4350,メディカルシステムネットワーク,202603,20260508,132186,3313,3193,1070,80100,17285,2128,31939,21.6,6.38,1.42,30642600
4390,IPS,202603,20260508,16999,5370,5787,4196,50979,18846,1306,12636,37,24.62,9.02,13082400
4483,JMDC,202603,20260508,50462,10521,9964,6765,158538,83678,25167,41498,52.8,8.37,4.49,65439808
4528,小野薬品工業,202603,20260508,515785,92236,92654,69767,1106515,850726,17358,110389,76.9,8.54,6.43,498692800
4556,カイノス,202603,20260508,5479,747,788,449,9566,7238,831,550,75.7,6.41,4.89,4558860
4559,ゼリア新薬工業,202603,20260508,89159,12374,11043,8454,179697,108396,6593,39103,60.3,8.54,4.99,50119190
4564,オンコセラピー・サイエンス,202603,20260508,808,-810,-845,-910,2359,2070,50,-,87.7,-66.69,-51.79,383643700
4674,クレスコ,202603,20260508,64676,6605,6980,5279,47899,33479,2514,1359,69.9,16.42,11.57,42000000
4678,秀英予備校,202603,20260508,10715,453,461,43,9698,4758,2089,1058,49.1,0.93,0.45,6710000
4689,LINEヤフー,202603,20260508,2036366,341322,294231,193692,11205191,2998805,252134,1961998,26.8,6.46,1.9,6884305136
4792,山田コンサルティンググループ,202603,20260508,26711,3740,3712,2895,33230,19871,1599,4896,59.8,15.27,10.21,19896000
4800,オリコン,202603,20260508,6320,1543,1601,625,7096,5803,1092,169,81.8,10.91,8.92,15123200
4970,東洋合成工業,202603,20260508,41956,3668,3592,2692,66949,27452,1618,25813,41,10.3,4.05,8143390
5186,ニッタ,202603,20260508,91834,5862,14810,13529,192432,164801,8060,-,85.6,8.5,7.27,29272503
5262,日本ヒューム,202603,20260508,40239,2523,3799,3382,68996,52219,5251,1010,75.7,7.13,5.36,58695000
5284,ヤマウホールディングス,202603,20260508,21243,3544,3514,2212,22506,13776,800,3103,61.2,16.93,9.54,6306000
5344,MARUWA,202603,20260508,74476,24976,26321,18163,162691,147262,8646,-,90.5,13.2,11.91,12372000
5388,クニミネ工業,202603,20260508,17075,1602,1954,1340,26844,22270,1617,-,83,6.12,5.09,14450000
