SC,名称,市場,業種,日付,株価,前日比,前日比（％）,前日終値,始値,高値,安値,出来高,売買代金（千円）,時価総額（百万円）,値幅下限,値幅上限
4745,東京個別指導学院,東証ST,サービス,2026/01/07,446.0,,,,444.0,446.0,443.0,760200.0,337907.0,24214.0,364.0,524.0
0001,日経平均株価（日経225）,東証,株価指数,2026/01/09,51939.89,,,,51010.28,52523.77,50995.67,0.0,0.0,,,
0002,TOPIX（東証株価指数）,東証,株価指数,2026/01/09,3514.11,,,,3448.77,3539.98,3448.77,0.0,0.0,,,
1301,極洋,東証PR,水産・農林,2026/01/09,4950.0,,,,4880.0,4990.0,4850.0,146600.0,722887.0,59788.0,4220.0,5620.0
130A,Veritas_In_Silico,東証GR,医薬品,2026/01/09,469.0,,,,488.0,493.0,461.0,397600.0,188322.0,3042.0,383.0,543.0
1332,ニッスイ,東証PR,水産・農林,2026/01/09,1125.5,,,,1150.5,1161.0,1125.0,6655800.0,7596774.0,351640.0,840.5,1440.5
1333,マルハニチロ,東証PR,水産・農林,2026/01/09,1307.0,,,,1290.0,1333.0,1275.0,2190000.0,2877018.0,198320.0,1015.5,1615.5
135A,VRAIN_Solution,東証GR,情報通信,2026/01/09,3250.0,,,,3240.0,3370.0,3035.0,457600.0,1466707.0,33257.0,2605.0,4005.0
1375,ユキグニファクトリー,東証PR,水産・農林,2026/01/09,1055.0,,,,1055.0,1059.0,1047.0,203700.0,214604.0,42106.0,755.0,1355.0
1376,カネコ種苗,東証ST,水産・農林,2026/01/09,1531.0,,,,1627.0,1672.0,1524.0,218400.0,348007.0,18024.0,1133.0,1933.0
1377,サカタのタネ,東証PR,水産・農林,2026/01/09,4335.0,,,,4320.0,4415.0,4295.0,654300.0,2851259.0,196856.0,3635.0,5040.0
1379,ホクト,東証PR,水産・農林,2026/01/09,2025.0,,,,2024.0,2036.0,2008.0,281600.0,569000.0,67552.0,1518.0,2518.0
137A,Cocolive,東証GR,情報通信,2026/01/09,1111.0,,,,1077.0,1111.0,981.0,140200.0,145680.0,3358.0,737.0,1337.0
1380,秋川牧園,東証ST,水産・農林,2026/01/09,1004.0,,,,1005.0,1011.0,1000.0,11100.0,11131.0,4196.0,711.0,1311.0
1381,アクシーズ,東証ST,水産・農林,2026/01/09,4135.0,,,,4165.0,4195.0,4120.0,15600.0,64956.0,23228.0,3475.0,4875.0
1382,ホーブ,東証ST,水産・農林,2026/01/09,1823.0,,,,1794.0,1827.0,1794.0,11300.0,20460.0,1389.0,1409.0,2209.0
1383,ベルグアース,東証ST,水産・農林,2026/01/09,3205.0,,,,3215.0,3220.0,3185.0,11900.0,38141.0,5172.0,2500.0,3900.0
1384,ホクリヨウ,東証ST,水産・農林,2026/01/09,3010.0,,,,3000.0,3170.0,3000.0,176400.0,540539.0,25462.0,2380.0,3780.0
138A,光フードサービス,東証GR,小売,2026/01/09,2770.0,,,,2753.0,2770.0,2700.0,10600.0,29019.0,2748.0,2249.0,3250.0
1401,エムビーエス,東証GR,建設,2026/01/09,1428.0,,,,1337.0,1438.0,1327.0,39600.0,54990.0,11041.0,1123.0,1723.0
1407,ウエストホールディングス,東証ST,建設,2026/01/09,1515.0,,,,1563.0,1610.0,1488.0,2597200.0,3997535.0,69732.0,1114.0,1914.0
1414,ショーボンドホールディングス,東証PR,建設,2026/01/09,1369.0,,,,1329.0,1381.0,1313.0,6904500.0,9318314.0,299785.0,1065.5,1665.5
1417,ミライト・ワン,東証PR,建設,2026/01/09,3616.0,,,,3509.0,3649.0,3509.0,1042700.0,3747954.0,330232.0,2917.0,4317.0
1418,インターライフホールディングス,東証ST,建設,2026/01/09,699.0,,,,711.0,719.0,673.0,556000.0,387824.0,11890.0,599.0,799.0
1419,タマホーム,東証PR,建設,2026/01/09,3450.0,,,,3600.0,3695.0,3450.0,1922200.0,6806684.0,101623.0,2800.0,4200.0
141A,トライアルホールディングス,東証GR,小売,2026/01/09,3090.0,,,,3150.0,3190.0,2926.0,5348900.0,16490462.0,378419.0,2427.0,3430.0
1420,サンヨーホームズ,東証ST,建設,2026/01/09,718.0,,,,720.0,741.0,710.0,338700.0,245208.0,9233.0,570.0,870.0
