種別,銘柄名,SC,市場,シグナル付与日,判定実行日,確度スコア,C2/C1比,終値_付与日,前日比%_付与日,出来高_付与日,RSI_付与日,ヒスト_付与日,MA75t_付与日,MA75s_付与日,BK_付与日,bull_付与日,bear_付与日,Tier,シグナル種別,参考勝率,終値_判定日,前日比%_判定日,出来高_判定日,RSI_判定日,ヒスト_判定日,MA75t_判定日,MA75s_判定日,BK_判定日,bull_判定日,bear_判定日,終値_+1,対比%_+1,終値_+2,対比%_+2,終値_+3,対比%_+3,終値_+4,対比%_+4,終値_+5,対比%_+5,終値_+6,対比%_+6,終値_+7,対比%_+7,終値_+8,対比%_+8,終値_+9,対比%_+9,終値_+10,対比%_+10,終値_+11,実投資基準値,実対比%_+1,実対比%_+2,実対比%_+3,実対比%_+4,実対比%_+5,実対比%_+6,実対比%_+7,実対比%_+8,実対比%_+9,実対比%_+10,確定DIV,確定DIV日,確定DIV判定日,確定DIV_終値_+1d,確定DIV_増減率_+1d,確定DIV_終値_+2d,確定DIV_増減率_+2d,確定DIV_終値_+3d,確定DIV_増減率_+3d,確定DIV_終値_+4d,確定DIV_増減率_+4d,確定DIV_終値_+5d,確定DIV_増減率_+5d,確定DIV_終値_+6d,確定DIV_増減率_+6d,確定DIV_終値_+7d,確定DIV_増減率_+7d,確定DIV_終値_+8d,確定DIV_増減率_+8d,確定DIV_終値_+9d,確定DIV_増減率_+9d,確定DIV_終値_+10d,確定DIV_増減率_+10d
日経,日経平均株価,0001,指数,2026/06/04,2026/06/05,,,67470.69,-1.36,,74.3,299.629,1.0,1.38,,,,,,,66588.12,-1.31,,72.6,179.232,1.0,1.31,,,,64024.6,-3.85,65416.63,-1.76,64179.27,-3.62,64217.27,-3.56,66020.04,-0.85,69317.5,4.1,69404.5,4.23,69902.25,4.98,71053.49,6.71,71250.06,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear?,デュアルタップ,3469,東証ST,2026/06/04,2026/06/05,90.0,0.544,1030.0,1.08,6300.0,81.0,1.854,上昇(+1),1.34,1.0,0.0,0.0,Tier3,bear_div（全体）,,1022.0,-0.78,11700.0,66.8,1.669,上昇(+1),1.38,0.0,0.0,1.0,1016.0,-0.59,1020.0,-0.2,1016.0,-0.59,1020.0,-0.2,1021.0,-0.1,1021.0,-0.1,1019.0,-0.29,1022.0,0.0,1023.0,0.1,1022.0,0.0,1021.0,1016.0,0.39,0.0,0.39,0.49,0.49,0.3,0.59,0.69,0.59,0.49,1.0,2026/06/05,2026/06/08,1016.0,-0.59,1020.0,-0.2,1016.0,-0.59,1020.0,-0.2,1021.0,-0.1,1021.0,-0.1,1019.0,-0.29,1022.0,0.0,1023.0,0.1,1022.0,0.0
Bull?,日新製糖,2117,東証PR,2026/06/04,2026/06/05,80.0,0.27,2511.0,-0.91,45700.0,24.4,-4.011,下降(-1),-2.62,0.0,0.0,0.0,―,―,,2521.0,0.4,25700.0,27.5,-3.498,下降(-1),-2.75,0.0,0.0,0.0,2508.0,-0.52,2518.0,-0.12,2561.0,1.59,2553.0,1.27,2555.0,1.35,2571.0,1.98,2563.0,1.67,2571.0,1.98,2574.0,2.1,2595.0,2.94,2569.0,2508.0,0.4,2.11,1.79,1.87,2.51,2.19,2.51,2.63,3.47,2.43,,,,,,,,,,,,,,,,,,,,,,,
Bull?,メンバーズ,2130,東証PR,2026/06/04,2026/06/05,80.0,0.506,948.0,-5.67,448900.0,29.2,-16.646,下降(-1),-5.91,0.0,1.0,0.0,―,―,,1022.0,7.81,187300.0,41.6,-15.274,下降(-1),-5.9,0.0,0.0,0.0,1022.0,0.0,1018.0,-0.39,1008.0,-1.37,1033.0,1.08,1025.0,0.29,1058.0,3.52,1057.0,3.42,1071.0,4.79,1073.0,4.99,1052.0,2.94,1083.0,1022.0,-0.39,-1.37,1.08,0.29,3.52,3.42,4.79,4.99,2.94,5.97,1.0,2026/06/04,2026/06/05,1022.0,7.81,1022.0,7.81,1018.0,7.38,1008.0,6.33,1033.0,8.97,1025.0,8.12,1058.0,11.6,1057.0,11.5,1071.0,12.97,1073.0,13.19
Bull?,Ｓ　ＦＯＯＤＳ,2292,東証PR,2026/06/04,2026/06/05,80.0,0.869,2575.0,-1.04,187200.0,23.5,-15.98,下降(-1),-2.71,0.0,1.0,0.0,―,―,,2586.0,0.43,107300.0,25.7,-14.53,下降(-1),-3.0,0.0,0.0,0.0,2605.0,0.73,2597.0,0.43,2637.0,1.97,2630.0,1.7,2625.0,1.51,2651.0,2.51,2620.0,1.31,2590.0,0.15,2593.0,0.27,2636.0,1.93,2590.0,2605.0,-0.31,1.23,0.96,0.77,1.77,0.58,-0.58,-0.46,1.19,-0.58,1.0,2026/06/04,2026/06/05,2586.0,0.43,2605.0,1.17,2597.0,0.85,2637.0,2.41,2630.0,2.14,2625.0,1.94,2651.0,2.95,2620.0,1.75,2590.0,0.58,2593.0,0.7
Bull?,ワールドインテック,2429,東証PR,2026/06/04,2026/06/05,80.0,0.204,2292.0,-2.01,83100.0,29.4,-3.573,下降(-1),-2.12,0.0,1.0,0.0,―,―,,2357.0,2.84,61600.0,40.0,-0.985,下降(-1),-2.14,0.0,0.0,0.0,2331.0,-1.1,2356.0,-0.04,2364.0,0.3,2355.0,-0.08,2367.0,0.42,2389.0,1.36,2357.0,0.0,2395.0,1.61,2405.0,2.04,2470.0,4.79,2463.0,2331.0,1.07,1.42,1.03,1.54,2.49,1.12,2.75,3.17,5.96,5.66,1.0,2026/06/04,2026/06/05,2357.0,2.84,2331.0,1.7,2356.0,2.79,2364.0,3.14,2355.0,2.75,2367.0,3.27,2389.0,4.23,2357.0,2.84,2395.0,4.49,2405.0,4.93
Bull?,グローバル・リンク・マネジメント,3486,東証PR,2026/06/04,2026/06/05,80.0,0.513,1689.0,-1.23,95600.0,24.6,-3.404,下降(-1),-3.88,0.0,1.0,0.0,―,―,,1745.0,3.32,89600.0,37.2,-0.811,下降(-1),-4.07,0.0,0.0,0.0,1731.0,-0.8,1714.0,-1.78,1739.0,-0.34,1688.0,-3.27,1726.0,-1.09,1783.0,2.18,1755.0,0.57,1794.0,2.81,1824.0,4.53,1806.0,3.5,1815.0,1731.0,-0.98,0.46,-2.48,-0.29,3.0,1.39,3.64,5.37,4.33,4.85,1.0,2026/06/04,2026/06/05,1745.0,3.32,1731.0,2.49,1714.0,1.48,1739.0,2.96,1688.0,-0.06,1726.0,2.19,1783.0,5.57,1755.0,3.91,1794.0,6.22,1824.0,7.99
Bull?,Ｎｏ．１,3562,東証ST,2026/06/04,2026/06/05,80.0,0.805,1428.0,-2.12,45000.0,22.2,-11.044,下降(-1),-5.3,0.0,0.0,0.0,Tier3,bull_div（全体）,,1475.0,3.29,38500.0,36.1,-7.853,下降(-1),-5.32,0.0,1.0,0.0,1461.0,-0.95,1458.0,-1.15,1473.0,-0.14,1467.0,-0.54,1461.0,-0.95,1461.0,-0.95,1456.0,-1.29,1466.0,-0.61,1470.0,-0.34,1470.0,-0.34,1469.0,1461.0,-0.21,0.82,0.41,0.0,0.0,-0.34,0.34,0.62,0.62,0.55,1.0,2026/06/05,2026/06/08,1461.0,-0.95,1458.0,-1.15,1473.0,-0.14,1467.0,-0.54,1461.0,-0.95,1461.0,-0.95,1456.0,-1.29,1466.0,-0.61,1470.0,-0.34,1470.0,-0.34
Bull?,デジタル・インフォメーション・テクノロジー,3916,東証PR,2026/06/04,2026/06/05,80.0,0.173,826.0,-1.67,91800.0,26.8,-1.569,下降(-1),-10.52,0.0,1.0,0.0,―,―,,844.0,2.18,66400.0,36.3,-0.639,下降(-1),-10.5,0.0,0.0,0.0,833.0,-1.3,811.0,-3.91,820.0,-2.84,813.0,-3.67,809.0,-4.15,800.0,-5.21,797.0,-5.57,800.0,-5.21,810.0,-4.03,806.0,-4.5,810.0,833.0,-2.64,-1.56,-2.4,-2.88,-3.96,-4.32,-3.96,-2.76,-3.24,-2.76,1.0,2026/06/16,2026/06/17,800.0,0.38,810.0,1.63,806.0,1.13,810.0,1.63,797.0,0.0,805.0,1.0,802.0,0.63,812.0,1.88,,,,
Bull?,ミズホメディー,4595,東証ST,2026/06/04,2026/06/05,80.0,0.758,1666.0,-0.66,172500.0,28.5,-4.849,下降(-1),-0.97,0.0,1.0,0.0,―,―,,1692.0,1.56,100400.0,38.2,-3.413,下降(-1),-1.03,0.0,0.0,0.0,1680.0,-0.71,1684.0,-0.47,1696.0,0.24,1683.0,-0.53,1682.0,-0.59,1670.0,-1.3,1674.0,-1.06,1671.0,-1.24,1677.0,-0.89,1675.0,-1.0,1691.0,1680.0,0.24,0.95,0.18,0.12,-0.6,-0.36,-0.54,-0.18,-0.3,0.65,1.0,2026/06/04,2026/06/05,1692.0,1.56,1680.0,0.84,1684.0,1.08,1696.0,1.8,1683.0,1.02,1682.0,0.96,1670.0,0.24,1674.0,0.48,1671.0,0.3,1677.0,0.66
